Case;event;time;case Spend area text
10987;1;29.06.2018-10:42:00;7
10987;2;16.08.2018-13:41:00;7
10987;3;16.08.2018-15:03:00;7
10988;0;05.04.2018-10:14:00;7
10988;2;16.04.2018-12:54:00;7
10988;3;07.06.2018-13:12:00;7
10989;0;02.07.2018-13:54:00;7
10989;2;31.07.2018-08:36:00;7
10989;3;30.08.2018-15:39:00;7
10990;28;23.10.2018-00:00:00;10
10990;0;23.10.2018-14:35:00;10
10990;2;18.12.2018-12:57:00;10
10991;0;12.02.2018-11:37:00;10
10991;14;20.02.2018-12:00:00;10
10991;1;06.03.2018-08:19:00;10
10991;2;14.03.2018-10:56:00;10
10991;9;15.03.2018-17:16:00;10
10991;3;24.05.2018-13:33:00;10
10992;28;19.09.2018-00:00:00;11
10992;0;19.09.2018-09:46:00;11
10992;1;03.10.2018-17:58:00;11
10992;2;29.11.2018-14:55:00;11
10993;0;18.06.2018-07:59:00;7
10993;1;19.06.2018-17:45:00;7
10993;2;16.08.2018-15:26:00;7
10993;3;14.09.2018-13:16:00;7
10994;0;22.02.2018-15:57:00;10
10994;1;15.03.2018-14:38:00;10
10994;2;27.03.2018-14:44:00;10
10994;3;28.06.2018-14:03:00;10
10995;0;30.05.2018-08:53:00;7
10995;1;31.05.2018-10:48:00;7
10995;2;11.06.2018-16:44:00;7
10995;3;28.06.2018-14:03:00;7
10996;0;16.04.2018-07:57:00;9
10996;1;17.04.2018-17:52:00;9
10996;2;30.04.2018-12:12:00;9
10996;3;07.06.2018-13:11:00;9
10997;0;16.04.2018-11:04:00;10
10997;21;16.04.2018-12:19:00;10
10997;1;20.04.2018-09:52:00;10
10997;2;23.04.2018-16:25:00;10
10997;3;05.07.2018-14:12:00;10
10998;0;26.07.2018-10:23:00;10
10998;17;07.08.2018-14:15:00;10
10998;1;09.08.2018-15:01:00;10
10998;2;10.08.2018-12:50:00;10
10998;9;10.08.2018-16:52:00;10
10998;3;07.12.2018-09:04:00;10
10999;0;26.07.2018-10:24:00;10
10999;1;07.08.2018-14:37:00;10
10999;2;18.09.2018-14:50:00;10
10999;3;01.11.2018-16:27:00;10
11000;0;18.06.2018-08:47:00;9
11000;1;19.06.2018-17:45:00;9
11000;2;28.06.2018-16:25:00;9
11000;3;09.08.2018-14:28:00;9
11001;0;18.10.2018-10:46:00;10
11001;1;01.11.2018-13:05:00;10
11001;2;06.12.2018-11:55:00;10
11001;9;12.12.2018-10:43:00;10
11001;3;10.01.2019-15:45:00;10
11002;0;02.02.2018-17:28:00;15
11002;1;20.03.2018-07:47:00;15
11003;0;12.10.2018-08:34:00;7
11003;1;29.10.2018-17:23:00;7
11003;2;05.12.2018-12:03:00;7
11003;3;07.12.2018-16:19:00;7
11004;0;10.02.2018-15:35:00;10
11004;1;19.03.2018-17:01:00;10
11004;2;24.03.2018-09:16:00;10
11004;3;07.06.2018-13:12:00;10
11005;0;28.08.2018-07:56:00;7
11005;1;30.08.2018-10:19:00;7
11005;2;05.09.2018-12:28:00;7
11005;3;28.09.2018-10:28:00;7
11006;0;13.04.2018-08:07:00;9
11006;2;16.04.2018-09:56:00;9
11006;1;16.04.2018-18:09:00;9
11006;3;07.06.2018-13:13:00;9
11007;15;16.07.2018-09:55:00;10
11008;0;29.03.2018-16:39:00;9
11008;1;03.04.2018-09:40:00;9
11008;2;30.04.2018-11:06:00;9
11008;3;07.06.2018-13:11:00;9
11009;0;23.01.2018-14:50:00;10
11009;1;09.02.2018-13:42:00;10
11009;2;09.05.2018-13:27:00;10
11009;3;24.05.2018-13:35:00;10
11010;0;16.08.2018-09:45:00;11
11010;1;22.08.2018-15:54:00;11
11010;2;19.09.2018-14:15:00;11
11010;3;26.10.2018-11:01:00;11
11011;0;13.08.2018-11:28:00;0
11011;2;15.08.2018-15:24:00;0
11011;1;21.08.2018-10:06:00;0
11011;9;21.08.2018-17:28:00;0
11011;3;06.09.2018-14:06:00;0
11012;0;19.02.2018-10:27:00;10
11012;15;26.02.2018-13:03:00;10
11013;28;06.12.2018-00:00:00;15
11013;0;06.12.2018-15:26:00;15
11014;0;02.03.2018-11:08:00;10
11014;1;08.03.2018-15:14:00;10
11014;2;10.03.2018-05:42:00;10
11014;3;05.07.2018-14:10:00;10
11015;0;08.06.2018-09:06:00;10
11015;14;13.06.2018-09:22:00;10
11015;1;20.06.2018-09:29:00;10
11015;2;22.06.2018-11:16:00;10
11015;3;04.10.2018-16:48:00;10
11016;0;26.03.2018-12:25:00;10
11016;1;23.04.2018-18:36:00;10
11017;0;19.11.2018-15:44:00;10
11017;1;28.11.2018-13:32:00;10
11018;28;10.12.2018-00:00:00;11
11018;0;10.12.2018-15:23:00;11
11018;1;13.12.2018-12:59:00;11
11019;0;18.04.2018-12:51:00;10
11019;1;30.04.2018-10:23:00;10
11019;2;01.05.2018-15:00:00;10
11019;3;07.06.2018-13:12:00;10
11020;0;18.01.2018-09:00:00;7
11020;1;17.09.2018-14:12:00;7
11021;0;08.10.2018-11:49:00;7
11021;2;18.10.2018-12:07:00;7
11021;3;26.10.2018-11:02:00;7
11022;0;26.09.2018-09:38:00;6
11022;1;15.10.2018-10:46:00;6
11022;2;22.10.2018-15:18:00;6
11022;3;10.01.2019-15:44:00;6
11023;0;09.08.2018-09:15:00;9
11023;2;31.08.2018-12:56:00;9
11023;3;04.10.2018-16:49:00;9
11024;0;25.09.2018-11:31:00;10
11024;1;10.10.2018-13:45:00;10
11024;2;29.10.2018-09:29:00;10
11024;9;13.12.2018-08:03:00;10
11025;0;28.11.2018-02:04:00;10
11025;1;17.12.2018-10:42:00;10
11025;2;19.12.2018-14:12:00;10
11026;0;12.04.2018-10:47:00;10
11026;1;01.05.2018-13:21:00;10
11026;2;18.05.2018-13:36:00;10
11026;3;24.05.2018-13:34:00;10
11027;0;12.07.2018-11:34:00;10
11027;21;23.07.2018-10:24:00;10
11027;1;08.08.2018-21:31:00;10
11028;28;03.09.2018-00:00:00;10
11028;21;03.09.2018-10:03:00;10
11028;1;05.09.2018-08:57:00;10
11028;2;06.09.2018-09:58:00;10
11029;0;06.04.2018-16:34:00;10
11029;2;05.07.2018-09:50:00;10
11029;9;11.07.2018-14:17:00;10
11029;3;26.07.2018-18:09:00;10
11030;21;12.10.2018-11:37:00;10
11030;1;17.10.2018-08:44:00;10
11030;2;24.10.2018-15:02:00;10
11031;0;13.06.2018-10:35:00;16
11031;1;12.07.2018-09:49:00;16
11031;2;20.08.2018-11:27:00;16
11031;3;06.09.2018-14:06:00;16
11032;28;13.12.2018-00:00:00;7
11032;0;13.12.2018-08:37:00;7
11032;1;19.12.2018-07:34:00;7
11032;2;24.12.2018-04:58:00;7
11033;0;23.01.2018-10:09:00;9
11033;1;23.01.2018-10:11:00;9
11034;0;04.06.2018-11:27:00;11
11034;1;19.06.2018-07:17:00;11
11034;2;19.06.2018-18:02:00;11
11034;3;30.08.2018-15:39:00;11
11035;0;18.06.2018-07:47:00;7
11035;1;20.06.2018-17:40:00;7
11035;2;05.07.2018-16:09:00;7
11035;3;26.07.2018-18:09:00;7
11036;0;30.07.2018-14:49:00;10
11036;1;21.09.2018-08:21:00;10
11036;2;17.10.2018-15:18:00;10
11036;3;29.11.2018-16:16:00;10
11037;0;05.03.2018-10:54:00;7
11037;2;23.03.2018-11:33:00;7
11037;9;27.03.2018-17:22:00;7
11037;3;05.04.2018-15:51:00;7
11038;0;18.07.2018-17:13:00;10
11038;2;22.08.2018-12:18:00;10
11038;9;24.08.2018-16:45:00;10
11038;3;28.09.2018-10:29:00;10
11039;0;26.11.2018-13:15:00;7
11039;1;27.11.2018-11:31:00;7
11039;2;11.01.2019-13:29:00;7
11040;0;18.04.2018-17:20:00;10
11040;2;23.05.2018-16:08:00;10
11040;2;24.05.2018-15:52:00;10
11040;3;28.06.2018-14:05:00;10
11040;3;21.09.2018-16:49:00;10
11040;7;21.09.2018-16:49:00;10
11040;2;24.09.2018-11:12:00;10
11040;3;26.10.2018-11:03:00;10
11041;0;24.04.2018-07:52:00;7
11041;1;30.04.2018-08:08:00;7
11041;2;15.05.2018-15:22:00;7
11041;3;24.05.2018-13:32:00;7
11042;0;18.06.2018-11:50:00;4
11042;1;18.06.2018-11:51:00;4
11042;2;20.06.2018-15:46:00;4
11042;3;30.08.2018-15:39:00;4
11043;0;21.03.2018-10:34:00;10
11043;21;21.03.2018-11:30:00;10
11043;1;29.03.2018-11:15:00;10
11043;2;30.03.2018-11:59:00;10
11043;3;24.05.2018-13:34:00;10
11044;28;22.10.2018-00:00:00;7
11044;0;22.10.2018-09:56:00;7
11044;14;22.10.2018-10:35:00;7
11044;1;30.10.2018-10:15:00;7
11044;2;15.11.2018-12:17:00;7
11044;3;07.12.2018-09:03:00;7
11045;28;13.09.2018-00:00:00;9
11045;0;13.09.2018-07:50:00;9
11045;1;17.09.2018-17:30:00;9
11046;0;31.01.2018-11:43:00;7
11046;1;14.02.2018-13:10:00;7
11046;1;14.02.2018-13:13:00;7
11046;1;14.02.2018-13:14:00;7
11046;2;17.02.2018-10:21:00;7
11046;3;26.04.2018-11:13:00;7
11047;0;02.02.2018-15:22:00;7
11047;23;16.02.2018-10:26:00;7
11047;22;20.02.2018-12:10:00;7
11047;2;13.03.2018-09:55:00;7
11047;3;05.04.2018-15:51:00;7
11048;0;07.08.2018-14:59:00;7
11048;1;14.08.2018-12:08:00;7
11048;2;20.08.2018-12:58:00;7
11048;3;06.09.2018-14:07:00;7
11049;0;18.07.2018-13:11:00;10
11049;1;25.07.2018-14:28:00;10
11049;2;06.08.2018-09:22:00;10
11049;3;13.09.2018-16:41:00;10
11050;0;11.04.2018-08:03:00;7
11050;1;13.04.2018-06:57:00;7
11050;2;04.06.2018-16:33:00;7
11050;3;07.06.2018-13:13:00;7
11051;0;04.07.2018-08:52:00;7
11051;1;24.07.2018-10:51:00;7
11051;2;02.08.2018-16:19:00;7
11051;3;30.08.2018-15:38:00;7
11052;0;19.02.2018-07:33:00;7
11052;1;21.02.2018-17:35:00;7
11052;2;14.03.2018-17:39:00;7
11052;3;05.04.2018-15:51:00;7
11053;0;02.08.2018-08:03:00;7
11053;2;06.11.2018-14:41:00;7
11053;3;08.11.2018-16:45:00;7
11054;0;17.01.2018-09:33:00;7
11054;1;25.01.2018-13:53:00;7
11054;2;12.03.2018-14:28:00;7
11054;3;29.03.2018-15:08:00;7
11055;21;14.06.2018-09:30:00;10
11055;1;15.06.2018-11:31:00;10
11055;2;19.06.2018-10:45:00;10
11055;3;30.08.2018-15:38:00;10
11056;28;30.11.2018-00:00:00;10
11056;0;06.12.2018-15:42:00;10
11056;1;15.01.2019-09:55:00;10
11057;0;23.08.2018-09:32:00;7
11057;1;28.08.2018-14:48:00;7
11057;2;27.09.2018-14:39:00;7
11057;3;26.10.2018-11:02:00;7
11058;0;08.11.2018-13:24:00;1
11058;1;09.11.2018-13:41:00;1
11058;2;15.01.2019-16:43:00;1
11059;0;28.08.2018-13:53:00;10
11059;1;05.09.2018-14:42:00;10
11059;2;28.09.2018-14:17:00;10
11059;3;26.10.2018-11:02:00;10
11060;0;16.04.2018-12:58:00;9
11060;2;02.10.2018-15:09:00;9
11060;3;07.12.2018-09:06:00;9
11061;0;27.03.2018-13:11:00;10
11061;2;30.03.2018-14:02:00;10
11061;1;30.03.2018-16:44:00;10
11061;3;28.06.2018-14:04:00;10
11062;0;30.10.2018-11:41:00;10
11062;1;13.11.2018-18:46:00;10
11062;2;20.11.2018-11:13:00;10
11063;28;20.11.2018-00:00:00;7
11063;0;20.11.2018-09:28:00;7
11063;14;21.11.2018-09:54:00;7
11063;2;28.11.2018-17:22:00;7
11063;1;03.12.2018-17:36:00;7
11064;0;25.04.2018-17:42:00;10
11064;21;25.04.2018-18:30:00;10
11064;1;02.05.2018-11:53:00;10
11064;2;04.05.2018-06:32:00;10
11064;3;26.07.2018-18:07:00;10
11065;0;14.05.2018-19:39:00;9
11065;17;27.06.2018-15:28:00;9
11065;2;28.06.2018-16:38:00;9
11065;3;30.08.2018-15:37:00;9
11066;0;03.09.2018-08:11:00;11
11066;1;05.11.2018-13:43:00;11
11066;2;26.11.2018-08:59:00;11
11067;21;25.07.2018-09:15:00;10
11067;1;27.07.2018-15:28:00;10
11067;2;09.08.2018-06:11:00;10
11067;9;27.09.2018-10:37:00;10
11067;3;28.09.2018-10:27:00;10
11068;0;12.07.2018-14:16:00;10
11068;1;01.08.2018-11:54:00;10
11068;2;09.08.2018-12:51:00;10
11068;3;08.11.2018-16:44:00;10
11069;28;21.11.2018-00:00:00;7
11069;0;21.11.2018-09:01:00;7
11069;1;23.11.2018-17:30:00;7
11069;2;30.11.2018-14:56:00;7
11070;0;15.03.2018-14:32:00;10
11070;1;04.04.2018-13:20:00;10
11071;21;12.03.2018-09:31:00;10
11071;1;14.03.2018-07:49:00;10
11071;2;14.03.2018-14:45:00;10
11071;3;24.05.2018-13:34:00;10
11072;0;20.06.2018-07:58:00;0
11072;1;27.06.2018-17:39:00;0
11072;2;28.06.2018-12:09:00;0
11072;3;12.07.2018-12:55:00;0
11073;0;04.04.2018-14:02:00;13
11073;17;06.04.2018-11:12:00;13
11073;1;09.04.2018-12:53:00;13
11074;0;08.05.2018-13:33:00;10
11074;1;18.05.2018-11:48:00;10
11074;2;04.09.2018-15:58:00;10
11074;3;06.09.2018-14:07:00;10
11075;0;17.05.2018-15:09:00;9
11075;2;07.06.2018-10:46:00;9
11075;3;26.10.2018-11:03:00;9
11076;0;21.11.2018-11:01:00;7
11076;1;29.11.2018-13:01:00;7
11076;2;17.01.2019-15:23:00;7
11077;0;25.09.2018-09:51:00;10
11077;1;05.10.2018-09:23:00;10
11077;2;12.10.2018-11:53:00;10
11078;0;19.03.2018-07:51:00;7
11078;2;20.03.2018-14:45:00;7
11078;1;21.03.2018-07:39:00;7
11078;9;21.03.2018-16:06:00;7
11078;3;09.05.2018-14:09:00;7
11079;28;06.11.2018-00:00:00;7
11079;0;06.11.2018-08:04:00;7
11079;1;09.11.2018-17:33:00;7
11079;2;07.12.2018-05:33:00;7
11079;3;03.01.2019-16:10:00;7
11080;0;27.06.2018-13:10:00;17
11080;14;04.07.2018-10:31:00;17
11080;1;23.07.2018-14:12:00;17
11080;2;21.09.2018-15:46:00;17
11080;3;28.09.2018-10:28:00;17
11081;0;06.11.2018-17:28:00;10
11081;1;14.11.2018-14:46:00;10
11081;2;01.12.2018-08:20:00;10
11081;3;10.01.2019-15:43:00;10
11082;1;30.11.2018-11:29:00;9
11082;2;05.12.2018-15:05:00;9
11083;0;09.07.2018-05:48:00;13
11083;1;25.07.2018-07:56:00;13
11083;2;01.08.2018-16:18:00;13
11083;3;04.10.2018-16:49:00;13
11084;0;23.02.2018-13:24:00;10
11084;2;04.05.2018-10:39:00;10
11084;3;24.05.2018-13:35:00;10
11084;7;22.08.2018-16:29:00;10
11084;2;22.08.2018-16:32:00;10
11084;3;23.08.2018-13:40:00;10
11084;7;29.08.2018-17:31:00;10
11084;2;29.08.2018-17:36:00;10
11084;3;31.08.2018-13:11:00;10
11084;2;04.09.2018-11:25:00;10
11084;3;04.09.2018-11:26:00;10
11084;7;04.09.2018-11:30:00;10
11084;3;13.09.2018-13:29:00;10
11085;0;23.03.2018-13:07:00;7
11085;1;30.03.2018-17:43:00;7
11085;2;23.04.2018-17:40:00;7
11085;3;17.05.2018-14:50:00;7
11086;0;06.07.2018-11:31:00;10
11086;21;06.07.2018-12:15:00;10
11086;15;12.07.2018-13:08:00;10
11087;0;15.01.2018-12:48:00;11
11087;21;15.01.2018-14:37:00;11
11087;1;29.01.2018-07:26:00;11
11087;2;02.02.2018-12:12:00;11
11087;3;29.03.2018-15:08:00;11
11088;28;22.11.2018-00:00:00;7
11088;0;22.11.2018-08:19:00;7
11088;1;28.11.2018-07:32:00;7
11088;2;28.11.2018-18:00:00;7
11088;3;10.01.2019-15:42:00;7
11089;0;13.06.2018-11:08:00;10
11089;21;13.06.2018-11:33:00;10
11089;1;15.06.2018-15:29:00;10
11089;2;18.06.2018-12:59:00;10
11089;3;06.09.2018-14:07:00;10
11090;0;04.05.2018-11:00:00;1
11090;1;09.05.2018-17:48:00;1
11090;2;17.07.2018-15:46:00;1
11090;3;26.07.2018-18:09:00;1
11091;0;23.04.2018-08:39:00;7
11091;2;26.04.2018-15:36:00;7
11091;1;26.04.2018-17:47:00;7
11091;3;24.05.2018-13:34:00;7
11092;0;15.05.2018-09:53:00;10
11092;2;23.05.2018-17:20:00;10
11092;1;26.05.2018-08:23:00;10
11092;3;30.08.2018-15:38:00;10
11093;0;07.08.2018-15:31:00;7
11093;1;09.08.2018-10:22:00;7
11093;2;11.09.2018-15:18:00;7
11093;3;26.10.2018-11:02:00;7
11094;0;20.02.2018-09:21:00;7
11094;1;23.02.2018-17:34:00;7
11095;0;18.05.2018-16:47:00;10
11095;1;04.06.2018-13:58:00;10
11095;2;16.07.2018-10:25:00;10
11095;2;17.07.2018-12:02:00;10
11095;14;03.09.2018-15:57:00;10
11095;9;03.09.2018-17:39:00;10
11095;3;06.09.2018-14:07:00;10
11096;21;23.02.2018-10:22:00;10
11096;1;27.02.2018-14:19:00;10
11096;2;06.03.2018-16:06:00;10
11096;3;29.03.2018-15:08:00;10
11097;0;03.07.2018-14:53:00;10
11097;2;17.08.2018-15:23:00;10
11097;3;26.10.2018-11:01:00;10
11098;0;14.05.2018-12:03:00;7
11098;1;22.05.2018-11:27:00;7
11098;2;04.10.2018-12:07:00;7
11098;9;04.10.2018-12:19:00;7
11098;3;04.10.2018-16:49:00;7
11099;0;09.04.2018-14:16:00;10
11099;2;24.04.2018-10:29:00;10
11099;9;25.04.2018-08:16:00;10
11099;1;25.04.2018-12:16:00;10
11099;3;09.08.2018-14:28:00;10
11100;0;26.01.2018-14:41:00;10
11100;1;09.02.2018-11:58:00;10
11100;2;10.02.2018-12:48:00;10
11100;3;24.05.2018-13:32:00;10
11101;0;04.01.2018-07:40:00;7
11101;14;05.01.2018-09:18:00;7
11101;2;08.01.2018-15:57:00;7
11101;1;09.01.2018-07:25:00;7
11101;9;09.01.2018-16:42:00;7
11101;3;22.02.2018-16:17:00;7
11102;0;08.06.2018-08:13:00;9
11102;1;13.06.2018-17:31:00;9
11102;2;17.07.2018-15:25:00;9
11102;3;09.08.2018-14:29:00;9
11103;0;17.04.2018-08:52:00;7
11103;1;23.04.2018-07:08:00;7
11103;2;09.05.2018-14:15:00;7
11103;3;07.06.2018-13:11:00;7
11104;28;17.10.2018-00:00:00;7
11104;0;17.10.2018-09:00:00;7
11104;1;22.10.2018-09:24:00;7
11104;2;19.11.2018-12:10:00;7
11104;3;07.12.2018-09:06:00;7
11105;0;19.06.2018-10:06:00;7
11105;1;21.06.2018-07:48:00;7
11105;2;12.07.2018-15:55:00;7
11105;3;26.07.2018-18:07:00;7
11106;0;03.10.2018-09:14:00;10
11106;1;19.10.2018-10:07:00;10
11106;2;14.11.2018-09:23:00;10
11106;9;20.11.2018-07:33:00;10
11107;0;30.10.2018-11:44:00;10
11107;21;31.10.2018-08:49:00;10
11107;1;15.11.2018-11:22:00;10
11107;2;28.12.2018-08:44:00;10
11108;0;11.07.2018-09:08:00;7
11108;1;12.07.2018-11:16:00;7
11108;2;04.09.2018-10:05:00;7
11108;3;28.09.2018-10:27:00;7
11109;0;12.07.2018-11:34:00;10
11109;21;23.07.2018-10:24:00;10
11109;1;08.08.2018-21:31:00;10
11110;0;15.03.2018-09:33:00;9
11110;2;18.07.2018-17:47:00;9
11110;3;06.09.2018-14:07:00;9
11111;0;12.11.2018-13:10:00;10
11111;1;26.11.2018-13:02:00;10
11111;2;28.11.2018-17:51:00;10
11112;0;28.02.2018-10:31:00;7
11112;1;02.03.2018-13:46:00;7
11112;2;10.03.2018-11:16:00;7
11112;3;26.04.2018-11:13:00;7
11113;21;09.03.2018-09:45:00;10
11113;1;13.03.2018-13:41:00;10
11113;2;14.03.2018-12:41:00;10
11113;3;24.05.2018-13:34:00;10
11114;0;03.09.2018-10:03:00;10
11114;1;09.10.2018-18:37:00;10
11114;1;10.10.2018-13:39:00;10
11114;1;11.10.2018-21:23:00;10
11114;1;12.10.2018-19:45:00;10
11115;0;30.10.2018-09:39:00;11
11115;21;30.10.2018-14:00:00;11
11115;1;16.11.2018-07:50:00;11
11116;28;28.11.2018-00:00:00;10
11116;21;29.11.2018-11:09:00;10
11116;1;02.01.2019-09:30:00;10
11116;2;07.01.2019-14:45:00;10
11117;0;07.03.2018-19:29:00;10
11117;1;28.03.2018-13:23:00;10
11117;2;28.03.2018-17:37:00;10
11117;3;09.05.2018-14:09:00;10
11118;0;14.05.2018-11:20:00;10
11118;1;22.05.2018-12:26:00;10
11118;2;29.05.2018-18:18:00;10
11118;3;05.07.2018-14:12:00;10
11119;0;04.01.2018-08:45:00;7
11119;1;08.01.2018-17:33:00;7
11119;2;10.01.2018-10:43:00;7
11119;3;25.01.2018-16:54:00;7
11120;0;01.05.2018-09:49:00;10
11120;2;16.05.2018-10:05:00;10
11120;1;18.05.2018-13:11:00;10
11120;3;30.08.2018-15:38:00;10
11121;1;17.05.2018-13:12:00;10
11121;2;30.05.2018-13:02:00;10
11121;3;30.08.2018-15:36:00;10
11122;28;04.11.2018-00:00:00;11
11122;0;06.11.2018-12:10:00;11
11122;1;13.11.2018-07:45:00;11
11122;2;18.12.2018-17:13:00;11
11123;0;25.06.2018-14:58:00;15
11123;1;02.10.2018-15:43:00;15
11123;2;23.10.2018-12:12:00;15
11123;19;29.10.2018-13:28:00;15
11123;3;10.01.2019-15:42:00;15
11123;3;10.01.2019-15:44:00;15
11124;0;27.03.2018-16:38:00;9
11124;14;04.05.2018-09:26:00;9
11124;2;15.05.2018-15:08:00;9
11124;3;26.07.2018-18:07:00;9
11125;0;26.06.2018-10:40:00;10
11125;1;04.07.2018-11:30:00;10
11125;2;09.07.2018-13:20:00;10
11125;3;26.10.2018-11:03:00;10
11126;21;12.10.2018-11:36:00;10
11126;1;17.10.2018-08:47:00;10
11126;2;24.10.2018-15:06:00;10
11127;0;13.07.2018-09:28:00;10
11127;17;07.08.2018-09:17:00;10
11127;2;11.10.2018-11:53:00;10
11127;3;11.10.2018-13:46:00;10
11128;28;05.12.2018-00:00:00;7
11128;0;05.12.2018-10:03:00;7
11128;1;13.12.2018-18:28:00;7
11128;2;28.12.2018-16:32:00;7
11129;0;10.07.2018-10:14:00;10
11129;1;20.07.2018-08:42:00;10
11129;2;27.07.2018-13:52:00;10
11129;3;26.10.2018-11:02:00;10
11130;0;31.05.2018-09:29:00;10
11130;1;14.06.2018-17:13:00;10
11131;0;29.01.2018-14:46:00;0
11131;1;29.01.2018-14:47:00;0
11132;0;10.01.2018-08:24:00;0
11132;2;11.01.2018-14:34:00;0
11132;1;12.01.2018-10:50:00;0
11132;3;22.02.2018-16:15:00;0
11133;0;24.09.2018-08:00:00;7
11133;1;24.09.2018-08:41:00;7
11133;2;14.11.2018-15:44:00;7
11133;3;29.11.2018-16:16:00;7
11134;28;14.10.2018-00:00:00;16
11134;0;15.10.2018-11:54:00;16
11134;2;01.11.2018-09:17:00;16
11134;1;06.11.2018-11:48:00;16
11135;0;16.01.2018-07:36:00;7
11135;1;19.01.2018-09:17:00;7
11135;2;22.01.2018-10:15:00;7
11135;9;22.02.2018-16:54:00;7
11135;3;01.03.2018-14:05:00;7
11136;0;14.08.2018-11:42:00;7
11136;1;16.08.2018-10:37:00;7
11136;2;28.09.2018-15:17:00;7
11136;3;26.10.2018-11:02:00;7
11137;28;30.11.2018-00:00:00;10
11137;0;30.11.2018-10:06:00;10
11137;21;30.11.2018-11:03:00;10
11137;1;10.12.2018-12:29:00;10
11137;2;10.12.2018-17:48:00;10
11137;2;10.12.2018-17:56:00;10
11137;1;11.12.2018-07:49:00;10
11137;9;12.12.2018-10:43:00;10
11138;0;17.07.2018-11:16:00;7
11138;1;24.07.2018-10:44:00;7
11138;2;04.09.2018-17:26:00;7
11138;3;28.09.2018-10:27:00;7
11139;0;29.03.2018-09:39:00;11
11139;1;16.04.2018-13:08:00;11
11139;2;20.04.2018-16:59:00;11
11139;9;25.04.2018-08:23:00;11
11139;3;28.06.2018-14:02:00;11
11140;0;28.03.2018-07:44:00;0
11140;1;30.03.2018-07:11:00;0
11140;2;30.03.2018-12:46:00;0
11140;3;19.04.2018-14:46:00;0
11141;0;01.06.2018-11:36:00;11
11141;1;04.07.2018-12:48:00;11
11141;2;07.07.2018-08:46:00;11
11141;14;10.07.2018-11:20:00;11
11141;3;04.10.2018-16:48:00;11
11142;1;13.03.2018-15:23:00;10
11142;2;26.03.2018-12:52:00;10
11142;9;18.04.2018-06:40:00;10
11142;3;26.04.2018-11:14:00;10
11143;0;26.03.2018-15:17:00;9
11143;17;14.05.2018-10:23:00;9
11143;1;23.05.2018-10:53:00;9
11143;2;15.06.2018-10:48:00;9
11143;3;30.08.2018-15:38:00;9
11144;0;08.11.2018-11:35:00;11
11144;1;06.12.2018-11:54:00;11
11144;2;31.12.2018-11:31:00;11
11144;9;07.01.2019-09:52:00;11
11145;2;24.07.2018-09:32:00;5
11145;9;30.07.2018-09:18:00;5
11145;3;09.08.2018-14:30:00;5
11146;0;05.06.2018-09:46:00;9
11146;17;30.07.2018-16:44:00;9
11146;2;23.08.2018-16:17:00;9
11146;3;28.09.2018-10:27:00;9
11147;1;09.04.2018-12:13:00;10
11147;2;17.04.2018-10:21:00;10
11147;3;28.06.2018-14:04:00;10
11148;0;25.09.2018-11:40:00;10
11148;2;05.10.2018-08:43:00;10
11148;1;10.10.2018-18:59:00;10
11149;0;31.05.2018-08:42:00;7
11149;1;06.06.2018-07:21:00;7
11149;2;11.06.2018-12:42:00;7
11149;3;09.08.2018-14:28:00;7
11150;21;06.07.2018-09:30:00;10
11150;1;11.07.2018-07:46:00;10
11150;2;11.07.2018-15:07:00;10
11150;9;27.09.2018-10:37:00;10
11150;3;28.09.2018-10:27:00;10
11151;28;18.09.2018-00:00:00;7
11151;0;18.09.2018-08:55:00;7
11151;2;26.09.2018-14:53:00;7
11151;3;26.10.2018-11:02:00;7
11152;0;12.06.2018-09:09:00;7
11152;1;18.06.2018-07:40:00;7
11152;2;21.06.2018-12:53:00;7
11152;3;09.08.2018-14:28:00;7
11153;0;12.12.2018-16:26:00;7
11153;25;17.12.2018-09:49:00;7
11153;24;17.12.2018-09:56:00;7
11154;28;26.10.2018-00:00:00;9
11154;0;26.10.2018-09:48:00;9
11154;2;30.10.2018-16:02:00;9
11154;1;02.11.2018-09:59:00;9
11154;3;13.11.2018-11:16:00;9
11155;0;24.07.2018-09:02:00;9
11155;1;27.07.2018-17:31:00;9
11155;2;01.08.2018-16:59:00;9
11155;3;06.09.2018-14:07:00;9
11156;0;18.01.2018-08:25:00;7
11156;2;22.01.2018-10:00:00;7
11156;1;22.01.2018-17:21:00;7
11156;3;08.02.2018-14:44:00;7
11157;0;20.03.2018-18:30:00;11
11157;1;21.03.2018-08:08:00;11
11157;2;29.03.2018-14:17:00;11
11157;3;10.04.2018-13:11:00;11
11158;0;27.07.2018-12:39:00;9
11158;1;03.08.2018-09:03:00;9
11158;2;03.08.2018-09:26:00;9
11158;3;30.08.2018-13:43:00;9
11159;0;05.04.2018-10:23:00;7
11159;21;05.04.2018-11:40:00;7
11159;14;05.04.2018-16:03:00;7
11159;2;15.05.2018-15:47:00;7
11159;3;07.06.2018-13:13:00;7
11160;0;29.06.2018-07:25:00;7
11160;1;03.07.2018-17:37:00;7
11160;2;06.08.2018-16:17:00;7
11160;3;30.08.2018-15:36:00;7
11161;0;20.03.2018-08:45:00;7
11161;1;22.03.2018-17:57:00;7
11161;2;24.03.2018-12:22:00;7
11161;3;24.05.2018-13:36:00;7
11162;0;19.03.2018-10:04:00;7
11162;2;21.05.2018-16:13:00;7
